Series Code,Topic,Dataset,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Reference period,Aggregation method,Limitations and exceptions,General comments,Source,Statistical concept and methodology,Development relevance
WP11633.1,2011 Variables,Global Findex,Used electronic payments to make payments (% age 15+) [w1],Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 15+). [w1: data are available for wave 1].,Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 15+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.3,2011 Variables,Global Findex,"Used electronic payments to make payments, female (% age 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (female, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (female, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.8,2011 Variables,Global Findex,"Used electronic payments to make payments, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (income, poorest 40%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.9,2011 Variables,Global Findex,"Used electronic payments to make payments, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (income, richest 60%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.2,2011 Variables,Global Findex,"Used electronic payments to make payments, male (% age 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (male, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (male, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.5,2011 Variables,Global Findex,"Used electronic payments to make payments, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 25+). [w1: data are available for wave 1].,Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 25+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.6,2011 Variables,Global Findex,"Used electronic payments to make payments, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (primary education or less, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (primary education or less, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.10,2011 Variables,Global Findex,"Used electronic payments to make payments, rural (% age 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (rural, % age 15+ ). [w1: data are available for wave 1].","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (rural, % age 15+ ). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.7,2011 Variables,Global Findex,"Used electronic payments to make payments, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (secondary education or more, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (secondary education or more, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11633.4,2011 Variables,Global Findex,"Used electronic payments to make payments, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% ages 15-24). [w1: data are available for wave 1].,Denotes the percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% ages 15-24). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11629.1.1,2011 Variables,Global Findex,"Withdrawals in a typical month: 0 (% with an account, age 15+) [w1]","Denotes the percentage of respondents with an account at a formal financial institution who report making zero withdrawals from their personal account(s) in a typical month. This includes cash or electronic deposits, or any time money is removed from account(s) by self or others (% age 15+, with an account). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account at a formal financial institution who report making zero withdrawals from their personal account(s) in a typical month. This includes cash or electronic deposits, or any time money is removed from account(s) by self or others (% age 15+, with an account). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11629.2.1,2011 Variables,Global Findex,"Withdrawals in a typical month: 1 or 2 (% with an account, age 15+) [w1]","Denotes the percentage of respondents with an account at a formal financial institution who report making 1 to 2 withdrawals from their personal account(s) in a typical month. This includes cash or electronic deposits, or any time money is removed from account(s) by self or others (% age 15+, with an account). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account at a formal financial institution who report making 1 to 2 withdrawals from their personal account(s) in a typical month. This includes cash or electronic deposits, or any time money is removed from account(s) by self or others (% age 15+, with an account). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11629.3.1,2011 Variables,Global Findex,"Withdrawals in a typical month: 3+ (% with an account, age 15+) [w1]","Denotes the percentage of respondents with an account at a formal financial institution who report making 3 or more withdrawals from their personal account(s) in a typical month. This includes cash or electronic deposits, or any time money is removed from account(s) by self or others (% age 15+, with an account). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account at a formal financial institution who report making 3 or more withdrawals from their personal account(s) in a typical month. This includes cash or electronic deposits, or any time money is removed from account(s) by self or others (% age 15+, with an account). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP14887_a.1,2014 Variables,Global Findex,Account (% age 15+) [w2],"Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account or through a mobile phone at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account or through a mobile phone at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.1,2014 Variables,Global Findex,Account at a financial institution (% age 15+) [w2],"Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.3,2014 Variables,Global Findex,"Account at a financial institution, female (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (female, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.8,2014 Variables,Global Findex,"Account at a financial institution, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.9,2014 Variables,Global Findex,"Account at a financial institution, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.2,2014 Variables,Global Findex,"Account at a financial institution, male (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (male, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.5,2014 Variables,Global Findex,"Account at a financial institution, older adults (% ages 25+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% age 25+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% age 25+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.6,2014 Variables,Global Findex,"Account at a financial institution, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.10,2014 Variables,Global Findex,"Account at a financial institution, rural (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.7,2014 Variables,Global Findex,"Account at a financial institution, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_7.4,2014 Variables,Global Findex,"Account at a financial institution, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% ages 15-24). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% ages 15-24). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.3,2014 Variables,Global Findex,"Account, female (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (female, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.8,2014 Variables,Global Findex,"Account, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.9,2014 Variables,Global Findex,"Account, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.2,2014 Variables,Global Findex,"Account, male (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (male, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.5,2014 Variables,Global Findex,"Account, older adults (% ages 25+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% age 25+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% age 25+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.6,2014 Variables,Global Findex,"Account, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.10,2014 Variables,Global Findex,"Account, rural (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.7,2014 Variables,Global Findex,"Account, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14887_a.4,2014 Variables,Global Findex,"Account, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% ages 15-24). [w2: data are available for wave 2].","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% ages 15-24). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14924_8.1,2014 Variables,Global Findex,Borrowed any money in the past year (% age 15+) [w2],Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (% age 15+). [w2: data are available for wave 2].,Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (% age 15+). [w2: data are available for wave 2].,Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
WP14924_8.3,2014 Variables,Global Findex,"Borrowed any money in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (female, % age 15+). [w2: data are available for wave 2].",Percent,Triennial,2014,Weighted average,,,"Demirguc-Kunt et al., 2015",,
